id,ingredientId,orderId,itemNumberInOrder
0,42,0,1
1,11,0,1
2,43,1,1
3,51,1,1
4,61,1,2
5,60,2,0
6,39,3,0
7,10,3,0
8,39,3,1
9,17,3,1
10,42,4,1
11,36,4,1
12,3,5,2
13,43,7,0
14,32,7,0
15,28,8,0
16,49,8,0
17,14,9,0
18,23,9,1
19,5,10,1
20,12,10,1
21,40,12,0
22,2,12,0
23,31,13,0
24,53,13,0
25,25,13,2
26,24,13,2
27,41,14,0
28,41,14,1
29,43,15,0
30,57,15,1
31,38,16,0
32,34,16,0
33,63,17,0
34,22,17,0
35,60,17,1
36,2,18,0
37,35,18,0
38,39,18,1
39,9,18,1
40,63,18,2
41,34,18,2
42,56,19,0
43,39,19,0
44,66,19,1
45,59,19,1
46,2,20,1
47,22,22,0
48,55,23,0
49,49,23,1
50,51,23,1
51,17,24,0
52,29,25,2
53,0,26,0
54,29,26,1
55,57,26,2
56,42,28,0
57,8,29,0
58,6,29,0
59,27,29,2
60,26,29,2
61,61,30,0
62,5,31,0
63,41,31,0
64,8,32,0
65,25,32,0
66,12,33,0
67,63,34,0
68,37,34,0
69,27,34,1
70,25,34,1
71,35,34,2
72,28,35,0
73,0,36,1
74,65,37,0
75,18,37,0
76,32,37,2
77,9,37,2
78,1,41,0
79,18,42,2
80,0,42,2
81,38,43,0
82,39,43,0
83,56,43,2
84,9,44,0
85,58,44,0
86,15,44,1
87,57,45,0
88,48,45,0
89,64,46,0
90,25,46,1
91,64,46,1
92,48,46,2
93,34,47,0
94,7,47,1
95,28,48,0
96,57,48,0
97,45,49,0
98,39,49,0
99,44,49,1
100,19,50,1
101,19,53,0
102,38,53,0
103,21,53,1
104,1,55,1
105,18,55,2
106,0,55,2
107,19,56,0
108,16,56,1
109,10,56,1
110,46,57,1
111,33,58,0
112,47,58,1
113,25,58,1
114,24,58,2
115,54,58,2
116,55,61,1
117,14,63,1
118,22,63,1
119,56,64,0
120,25,64,1
121,3,64,1
122,12,64,2
123,43,64,2
124,34,65,0
125,38,65,0
126,38,65,1
127,34,65,2
128,36,65,2
129,10,66,0
130,40,66,0
131,52,66,1
132,7,66,2
133,25,66,2
134,39,67,0
135,52,67,0
136,33,68,0
137,16,68,0
138,0,68,1
139,13,68,1
140,9,69,0
141,11,69,0
142,0,69,1
143,34,69,1
144,50,70,0
145,31,70,0
146,2,70,1
147,32,70,1
148,41,71,0
149,54,72,0
150,35,72,1
151,40,72,2
152,1,72,2
153,42,73,0
154,15,73,1
155,12,74,0
156,29,75,1
157,11,76,1
158,1,76,2
159,25,76,2
160,63,77,0
161,56,77,0
162,3,77,1
163,49,77,1
164,0,77,2
165,53,80,0
166,23,80,0
167,17,80,1
168,48,80,2
169,44,80,2
170,50,81,0
171,44,82,0
172,1,82,0
173,21,82,1
174,54,82,1
175,27,82,2
176,63,82,2
177,52,83,0
178,43,83,0
179,5,83,1
180,63,83,1
181,48,85,1
182,20,86,1
183,5,86,1
184,4,87,0
185,20,87,0
186,58,87,1
187,59,88,1
188,26,90,0
189,51,90,1
190,28,90,2
191,30,91,0
192,61,91,0
193,46,91,1
194,13,91,1
195,51,91,2
196,2,92,0
197,32,92,0
198,20,92,1
199,48,92,1
200,45,93,0
201,11,93,2
202,11,93,2
203,63,94,0
204,47,95,0
205,66,95,0
206,26,95,1
207,43,95,1
208,48,96,0
209,58,96,1
210,61,97,1
211,18,97,1
212,41,97,2
213,35,97,2
214,50,98,0
215,50,100,0
216,43,100,0
217,1,100,1
218,40,100,1
219,55,101,0
220,58,102,0
221,42,102,1
222,63,104,0
223,54,105,0
224,2,106,0
225,42,106,2
226,42,106,2
227,65,107,0
228,5,107,0
229,7,107,1
230,60,107,1
231,1,108,0
232,25,109,0
233,47,109,0
234,19,109,2
235,24,109,2
236,23,110,0
237,41,112,1
238,24,113,0
239,29,113,0
240,44,115,0
241,66,115,1
242,52,115,2
243,10,115,2
244,8,116,0
245,10,116,0
246,34,117,1
247,23,117,2
248,17,117,2
249,10,118,0
250,27,118,2
251,29,118,2
252,29,119,0
253,13,119,0
254,2,119,1
255,54,119,1
256,49,120,0
257,49,120,0
258,20,120,1
259,6,120,1
260,6,121,2
261,19,121,2
262,38,122,1
263,41,122,1
264,30,123,1
265,40,125,0
266,60,125,0
267,19,127,0
268,6,127,0
269,12,128,0
270,39,128,1
271,49,129,0
272,43,129,0
273,64,130,0
274,2,131,0
275,56,131,0
276,59,132,0
277,45,132,0
278,2,132,1
279,3,134,0
280,14,135,1
281,53,135,2
282,15,135,2
283,42,136,1
284,48,137,0
285,45,137,1
286,12,137,1
287,36,139,0
288,8,139,0
289,25,139,2
290,51,139,2
291,43,140,0
292,31,141,0
293,33,141,0
294,18,142,1
295,20,142,1
296,11,143,0
297,28,143,0
298,59,144,1
299,35,144,1
300,49,144,2
301,10,145,1
302,14,145,1
303,36,145,2
304,64,146,1
305,4,146,1
306,37,147,0
307,0,147,1
308,31,147,1
309,1,148,1
310,56,148,2
311,21,149,0
312,58,149,0
313,24,149,1
314,13,149,2
315,0,150,0
316,64,150,0
317,41,150,2
318,1,150,2
319,55,151,0
320,59,151,0
321,7,152,2
322,31,152,2
323,24,153,1
324,56,154,0
325,59,154,1
326,8,155,0
327,15,156,1
328,47,157,0
329,44,157,0
330,29,157,1
331,42,158,0
332,24,159,0
333,13,160,0
334,46,161,1
335,63,162,1
336,14,162,1
337,54,163,0
338,35,163,0
339,50,163,1
340,7,164,0
341,18,165,0
342,38,165,0
343,26,165,2
344,66,165,2
345,37,166,1
346,65,166,1
347,8,167,1
348,61,167,2
349,36,167,2
350,34,168,0
351,20,168,1
352,6,168,1
353,57,169,0
354,17,169,0
355,4,170,0
356,16,170,0
357,9,171,0
358,65,171,1
359,19,171,1
360,58,172,1
361,32,173,1
362,61,173,1
363,1,174,0
364,48,174,0
365,35,174,1
366,0,174,1
367,50,176,1
368,6,176,1
369,19,176,2
370,9,177,0
371,58,177,1
372,4,177,1
373,40,178,0
374,64,178,0
375,39,179,0
376,56,180,1
377,36,180,1
378,4,181,0
379,66,181,0
380,45,181,1
381,15,181,1
382,3,182,0
383,54,182,0
384,13,183,0
385,37,183,0
386,27,183,2
387,56,183,2
388,39,185,0
389,4,185,1
390,2,187,0
391,62,187,1
392,63,189,0
393,58,189,1
394,53,189,2
395,55,190,0
396,3,191,1
397,54,192,0
398,22,192,0
399,33,192,2
400,29,192,2
401,47,193,0
402,47,193,0
403,41,194,0
404,19,194,1
405,27,194,2
406,10,194,2
407,7,195,0
408,53,195,0
409,53,195,2
410,35,196,0
411,57,196,0
412,52,196,1
413,53,197,0
414,4,197,1
415,27,197,1
416,37,199,0
417,42,199,2
418,8,199,2
419,39,200,0
420,2,200,1
421,43,201,0
422,34,201,0
423,63,202,0
424,8,202,1
425,47,203,1
426,3,203,1
427,21,205,0
428,48,205,1
429,17,206,0
430,4,206,2
431,13,206,2
432,18,208,0
433,21,209,0
434,4,210,0
435,56,210,0
436,38,210,1
437,14,210,1
438,47,211,0
439,11,212,0
440,28,212,0
441,34,212,1
442,26,213,0
443,65,213,1
444,37,213,1
445,40,214,0
446,54,214,0
447,36,214,1
448,19,214,1
449,21,215,0
