id,ingredientId,orderId,itemNumberInOrder
0,33,0,1
1,6,1,0
2,39,2,0
3,42,4,0
4,9,4,1
5,11,4,1
6,0,5,2
7,41,5,2
8,6,6,0
9,51,8,0
10,25,8,0
11,6,9,0
12,14,9,1
13,6,9,1
14,41,10,0
15,0,10,1
16,6,10,1
17,32,11,0
18,19,12,1
19,41,12,1
20,35,13,0
21,35,13,0
22,6,13,2
23,64,14,2
24,23,15,0
25,66,15,1
26,10,15,1
27,63,16,0
28,5,17,1
29,6,18,0
30,13,18,1
31,6,19,0
32,45,19,2
33,66,20,0
34,6,20,0
35,14,20,1
36,15,20,1
37,49,21,0
38,17,22,0
39,17,22,0
40,25,22,1
41,56,22,1
42,13,23,0
43,46,24,0
44,0,24,0
45,26,25,1
46,34,25,2
47,2,26,0
48,7,26,1
49,3,26,1
50,25,26,2
51,25,26,2
52,2,28,0
53,6,29,0
54,63,29,0
55,56,29,2
56,49,29,2
57,5,30,0
58,31,30,0
59,29,31,0
60,65,31,1
61,19,31,1
62,45,32,0
63,59,32,0
64,48,32,1
65,48,32,1
66,36,33,0
67,49,33,0
68,58,34,0
69,24,34,0
70,6,35,0
71,7,35,0
72,6,36,0
73,33,36,0
74,16,36,1
75,51,36,1
76,15,36,2
77,63,37,0
78,14,37,0
79,5,37,2
80,23,38,0
81,3,39,0
82,63,40,0
83,21,41,0
84,21,41,0
85,63,41,1
86,6,41,1
87,56,41,2
88,60,41,2
89,49,42,0
90,59,42,1
91,63,42,1
92,14,42,2
93,66,42,2
94,13,43,1
95,14,43,1
96,6,43,2
97,5,43,2
98,55,44,0
99,66,44,1
100,29,47,1
101,41,47,2
102,3,48,0
103,60,48,1
104,66,49,1
105,3,49,1
106,25,50,0
107,51,50,0
108,5,53,0
109,26,53,1
110,24,54,0
111,41,55,0
112,7,55,1
113,59,55,2
114,42,55,2
115,3,56,1
116,46,56,1
117,12,57,0
118,6,58,0
119,63,58,0
120,48,58,1
121,20,58,2
122,6,59,0
123,63,60,0
124,58,61,0
125,17,61,0
126,51,61,1
127,16,61,1
128,13,62,1
129,13,62,1
130,5,63,0
131,3,64,1
132,46,64,2
133,15,64,2
134,25,65,0
135,12,65,0
136,51,65,1
137,25,65,1
138,24,65,2
139,3,65,2
140,54,67,0
141,8,67,1
142,6,67,1
143,57,68,1
144,24,70,0
145,24,70,0
146,63,70,1
147,59,70,1
148,58,71,0
149,25,71,0
150,41,72,2
151,6,73,0
152,39,73,1
153,59,73,1
154,58,75,0
155,51,75,0
156,25,76,0
157,5,76,1
158,36,76,1
159,17,76,2
160,6,76,2
161,43,77,0
162,43,77,0
163,0,77,2
164,6,77,2
165,24,78,0
166,24,78,0
167,8,79,0
168,41,80,0
169,34,80,0
170,14,80,1
171,66,80,2
172,45,80,2
173,35,81,0
174,57,81,0
175,59,82,0
176,59,84,0
177,3,84,0
178,6,84,1
179,6,86,0
180,6,86,2
181,63,86,2
182,23,87,0
183,23,87,0
184,59,87,1
185,0,88,1
186,0,89,0
187,7,89,0
188,6,90,0
189,2,90,0
190,2,91,0
191,13,91,0
192,61,92,0
193,43,92,1
194,25,93,0
195,56,93,1
196,10,93,1
197,15,93,2
198,34,94,0
199,2,94,0
200,17,96,1
201,63,96,2
202,8,96,2
203,6,97,0
204,6,97,0
205,44,97,1
206,63,97,2
207,6,97,2
208,32,98,0
209,32,98,0
210,45,100,0
211,12,100,1
212,0,100,1
213,14,102,0
214,33,102,1
215,39,102,1
216,14,104,0
217,3,105,0
218,26,108,0
219,51,108,0
220,45,109,0
221,14,109,0
222,52,109,2
223,32,109,2
224,45,110,0
225,14,111,0
226,47,112,0
227,58,112,0
228,36,113,0
229,60,114,1
230,59,115,0
231,36,115,1
232,56,115,1
233,51,116,0
234,0,116,0
235,51,117,0
236,51,117,0
237,49,117,1
238,36,118,0
239,6,118,1
240,28,119,0
241,6,119,0
242,57,119,1
243,21,119,2
244,33,121,0
245,33,121,0
246,8,121,2
247,13,121,2
248,1,122,1
249,57,122,1
250,21,123,1
251,6,123,1
252,12,124,0
253,7,124,1
254,4,125,0
255,17,125,0
256,34,125,1
257,34,125,1
258,45,125,2
259,59,125,2
260,49,127,0
261,30,127,0
262,6,127,1
263,58,128,0
264,2,129,0
265,14,129,0
266,13,130,0
267,14,130,0
268,53,131,1
269,59,131,1
270,45,132,0
271,59,132,1
272,36,133,0
273,49,133,0
274,6,133,1
275,45,134,0
276,5,134,0
277,52,135,0
278,25,135,2
279,6,136,2
280,59,136,2
281,45,137,1
282,63,138,0
